Rank,City 1,City 2,Flights,Top carriers,origin,ori_lat,ori_long,ori_area,destination,dest_lat,dest_long,dest_area,Type
1,Jeju City,Seoul,79460,"Air Busan, Air Seoul, Asiana Airlines, Eastar Jet, Jeju Air, Jin Air, Korean Air, T'way Air",CJU,33.51129913,126.4929962,977.91,GMP,37.5583,126.791,605.21,Domestic
2,Kuala Lumpur,Singapore,59920,"Malaysia Airlines, Singapore Airlines, AirAsia, SilkAir, Jetstar Asia, Malindo Air, Scoot, Firefly, Saudia",KUL,2.745579958,101.7099991,243,SIN,1.35019,103.994003,716.1,International
3,Hong Kong,Taoyuan,58381,"Cathay Pacific, China Airlines, EVA Airlines, Hong Kong Airlines",HKG,22.308901,113.915001,1108,TPE,25.0777,121.233002,1220.95,International
4,Jakarta,Singapore,54176,"Singapore Airlines, Garuda, Lion Air, Jetstar Asia, Indonesia AirAsia, Scoot, Batik Air",CGK,-6.12556982,106.6559982,740.28,SIN,1.35019,103.994003,716.1,International
5,Melbourne,Sydney,54102,"Jetstar Airways, Qantas, Virgin Australia, Tigerair Australia",MEL,-37.673302,144.843002,9990.5,SYD,-33.94609833,151.177002,12144.6,Domestic
6,Delhi,Mumbai,45188,"Air India, GoAir, IndiGo, Jet Airways, SpiceJet, Vistara",DEL,28.5665,77.103104,1484,BOM,19.08869934,72.86789703,603,Domestic
7,Hong Kong,Pudong,42706,"China Eastern Airlines, Hong Kong Airlines, Cathay Pacific",HKG,22.308901,113.915001,1108,PVG,31.14340019,121.8050003,1210.4,International
8,Jakarta,Kuala Lumpur,40739,"Malaysia Airlines, AirAsia, Lion Air, Indonesia AirAsia, Malindo Airways, Garuda",CGK,-6.12556982,106.6559982,740.28,KUL,2.745579958,101.7099991,243,International
9,Rio de Janeiro,Sao Paulo,39747,"Gol Transportes Aéreos, LATAM Airlines Brasil, Azul Linhas Aéreas",SDU,-22.91049957,-43.1631012,1221,CGH,-23.62611008,-46.65638733,1521.11,Domestic
10,Fukuoka,Tokyo,39406,"All Nippon Airways, Japan Airlines, Skymark Airlines",FUK,33.58589935,130.451004,340.03,HND,35.552299,139.779999,2187.66,Domestic
11,Hanoi,Ho Chi Minh City,39291,"Vietnam Airlines, Jetstar Pacific, Vietjet Air",HAN,21.22120094,105.8069992,3344.7,SGN,10.81879997,106.6520004,2095,Domestic
12,Sapporo,Tokyo,39271,"All Nippon Airways, Japan Airlines, Skymark Airlines",CTS,42.77519989,141.6920013,1121.12,HND,35.552299,139.779999,2187.66,Domestic
13,Jakarta,Surabaya,37762,"Garuda Indonesia, Citilink, Lion Air, Batik Air",CGK,-6.12556982,106.6559982,740.28,SUB,-7.379829884,112.7870026,374.78,Domestic
14,Incheon,Osaka,36048,"Asiana Airlines, Korean Air, Jin Air, Jeju Airlines, Peach Aviation, Easter Jet, T'way Air",ICN,37.46910095,126.4509964,1029.43,ITM,34.78549957,135.4380035,223,International
15,Los Angeles,San Francisco,35365,"American Airlines, Delta Air Lines, Southwest Airlines, United Airlines, Alaska Airlines",LAX,33.94250107,-118.4079971,1301.97,SFO,37.61899948,-122.375,600.6,Domestic
16,Jeddah,Riyadh,35149,"Saudia, Flynas",JED,21.6796,39.156502,1600,RUH,24.95759964,46.69879913,1554,Domestic
17,New York,Toronto,34072,"Air Canada, Westjet, American Airlines",LGA,40.77719879,-73.87259674,141300,YYZ,43.67720032,-79.63059998,630,International
18,Cape Town,Johannesburg,33708,"Comair, Mango, South African Airways, Safair",CPT,-33.96480179,18.60169983,2454.72,JNB,-26.1392,28.246,1644.96,Domestic
19,Brisbane,Sydney,33443,"Jetstar Airways, Qantas, Virgin Australia, Tigerair Australia",BNE,-27.38419914,153.1170044,5949.9,SYD,-33.94609833,151.177002,12144.6,Domestic
20,Hong Kong,Incheon,33441,"Cathay Pacific, Korean Air, HK Express, Asiana Airlines, Jeju Airlines,Easter Jet,T'way Air,Jin Air, Jeju Airlines",HKG,22.308901,113.915001,1108,ICN,37.46910095,126.4509964,1029.43,International
21,Jakarta,Denpasar,31958,"Batik Air, Citilink, Garuda Indonesia, Lion Air, Sriwijaya Air",CGK,-6.12556982,106.6559982,740.28,DPS,-8.748169899,115.1669998,123.98,Domestic
22,Bogot,Medell�n,31279,"Avianca, LATAM Airlines, VivaAir",BOG,4.70159,-74.1469,4.99,MDE,6.16454,-75.4231,380.64,Domestic
23,Shanghai,Shenzhen,29401,"Spring Airlines, China Southern Airlines, Xianmen Airlines, China Eastern Airlines, Shenzhen Airlines",SHA,31.19790077,121.3359985,6340.5,SZX,22.63929939,113.810997,2050,Domestic
24,Bangkok,Singapore,29314,"Singapore Airlines, Thai Airways, Scoot, Jetstar Asia",BKK,13.68109989,100.7470016,1568.74,SIN,1.35019,103.994003,716.1,International
25,Bangkok,Hong Kong,29238,"Cathay Pacific, Thai Airways, Hong Kong Airlines, Emirates,HK Express",BKK,13.68109989,100.7470016,1568.74,HKG,22.308901,113.915001,1108,International
26,Beijing,Shanghai,29233,"Air China, China Eastern Airlines, China Southern Airlines, Hainan Airlines, Xiamen Airlines",PEK,40.08010101,116.5849991,16410.5,SHA,31.19790077,121.3359985,6340.5,Domestic
27,Hong Kong,Singapore,29191,"Cathay Pacific Airways, Singapore Airlines, Scoot, Jetstar Asia",HKG,22.308901,113.915001,1108,SIN,1.35019,103.994003,716.1,International
28,Hong Kong,Beijing,29135,"Air China, Hong Kong Airlines, Cathay Pacific, China Southern Airlines",HKG,22.308901,113.915001,1108,PEK,40.08010101,116.5849991,16410.5,International
29,Dublin,London,28946,"Aer Lingus, British Airways",DUB,53.421299,-6.27007,114.99,LHR,51.4706,-0.461941,1572,International
30,Jakarta,Makassar,28903,"Garuda Indonesia, Citilink, Lion Air, Batik Air",CGK,-6.12556982,106.6559982,740.28,UPG,-5.0777,119.5495,175.77,Domestic
31,New Delhi,Bengaluru,28716,"AirAsia India, Air India, GoAir, IndiGo, Jet Airways, SpiceJet, Vistara",DEL,28.5665,77.103104,1484,BLR,13.1979,77.706299,741,Domestic
32,Narita,Taoyuan,28636,"China Airlines, EVA Air, Peach Aviation, Tigerair Taiwan, Japan Airlines, ANA, Cathay Pacific, Jetstar Japan",NRT,35.76470184,140.3860016,213.84,TPE,25.0777,121.233002,1220.95,International
33,Dubai International City,Kuwait,28629,"Emirates, Flydubai, Kuwait Airways, Jazeera Airways",DXB,25.25279999,55.36439896,8.2,KWI,29.22660065,47.96889877,17818,International
34,New York,London,28106,"British Airways, Virgin Atlantic, American Airlines, Delta Air Lines",LGA,40.77719879,-73.87259674,141300,LHR,51.4706,-0.461941,1572,International
