Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
Afghanistan,52,5,47,0,EXG,Bakhtar Afghan Airlines (YA-BAM),Antonov An-26
Afghanistan,53,0,0,0,EXG,Bakhtar Alwatana (YA-BAL),Antonov An-26
Afghanistan,83,5,78,0,MIL,Afghanistan Air Force,Antonov An-12
Afghanistan,76,5,71,0,MIL,Afghanistan Air Force,Antonov An-32
Afghanistan,105,8,97,0,COM,Kam Air Flight 904,Boeing 737-242
Algeria,78,9,69,0,INB,Air France Flight 406,Lockheed L-1649A Starliner
Algeria,102,6,96,0,COM,Air Algérie Flight 6289,Boeing 737-2T4
Algeria,77,4,72,0,MIL,Algerian Air Force C-130,Lockheed C-130 Hercules
Algeria,257,10,247,0,MIL,Algerian Air Force (7T-WIV),Ilyushin Il-76TD
Angola,130,4,126,0,COM,TAAG Angola Airlines (D2-TBN),Boeing 737-200
Angola,141,4,137,0,COM,Trans Service Airlift (9Q-CRR),Lockheed L-188 Electra
Angola,57,5,52,0,COM,ASA Pesada (D2-FCG),Antonov An-26
Antartica,257,20,237,0,COM,Air New Zealand Flight 901,McDonnell Douglas DC-10-30
Arabia,156,11,145,0,COM,Pakistan International Airlines Flight 740,Boeing 707-340C
Arabia,301,14,287,0,COM,Saudia Flight 163,Lockheed L-1011-200 TriStar
Arabia,89,8,81,0,MIL,Royal Saudi Air Force (453),Lockheed C-130E Hercules
Arabia,98,6,92,0,MIL,Royal Saudi Air Force (469),Lockheed C-130H Hercules
Argentina,61,6,55,0,COM,Aerola-neas Argentinas Flight 670,Douglas DC-4
Argentina,51,5,46,0,COM,Austral Líneas Aéreas Flight 205,Curtiss C-46A-50-CU
Argentina,67,7,60,0,COM,Aerol-neas Argentinas Flight 644,Douglas DC-6
Argentina,52,5,47,0,COM,Lineas Aéreas del Estado (TC-72) (1975),Fokker F-27 Friendship 400M
Argentina,53,5,48,0,COM,Lineas Aéreas del Estado (TC-72) (1995),Fokker F-27 Friendship 400M
Argentina,65,3,60,2,COM,LAPA Flight 3142,Boeing 737-204C
Armenia,77,9,68,0,MIL,Soviet Air Force (CCCP-86732),Ilyushin IL-76M
AtlanticOcean,52,12,40,0,COM,Air France (F-BDRC),Lataccoare 631
AtlanticOcean,53,9,44,0,MIL,US Air Force (49-0244),Douglas C-124A Globemaster II
AtlanticOcean,59,9,50,0,COM,US Navy (131588),Douglas R6D-1
AtlanticOcean,228,12,216,0,COM,Air France Flight 447,Airbus A330-203
Austria,83,8,75,0,COM,British Eagle International Airlines Flight 802,Bristol 175 Britannia 312
Azerbaijan,56,2,54,0,COM,Aeroflot Flight A-13,Antonov An-24B
Azerbaijan,53,2,50,0,COM,Azerbaijan Airlines Flight 56,Tupolev Tu-134B
Bahrain,143,8,135,0,COM,Gulf Air Flight 072,Airbus A320-212
Barbados,73,25,48,0,INB,Cubana de Aviación Flight 455,Douglas DC-8-43
Belgium,73,11,61,1,COM,Sabena Flight 548,Boeing 707-320
Belgium,63,8,55,0,COM,British European Airways Flight 706,Vickers 951 Vanguard
Benin,141,5,136,0,COM,UTAGE Flight 141,Boeing 727-223
Bingerville,50,12,38,0,COM,Varig Flight 797,Boeing 707-320C
Bolivia,59,4,55,0,COM,Lloyd Aacreo Boliviano (CP-609),Douglas DC-4
Bolivia,74,5,69,0,COM,Lloyd Aéreo Boliviano (CP-698),Douglas DC-6B
Bolivia,67,4,63,0,COM,Transporte Aéreo Militar (TAM-44),Convair CV-440-12
Bolivia,91,3,0,88,COM,Lloyd Aéreo Boliviano (N730JP),Boeing 707-131F
Botswana,78,3,75,0,COM,Wenela Air Services (A2-ZER),Douglas DC-4
Brazil,51,7,44,0,COM,Panair do Brasil Flight 099,Lockheed Constellation
Brazil,50,9,41,0,COM,Pan Am Flight 202,Boeing 377-10-26
Brazil,61,11,50,0,COM,US Navy (131582) andReal Transportes Aéreos (PP-AXD),Douglas R6D-1 (DC-6A) and Douglas DC-3
Brazil,54,5,49,0,COM,REAL Transportes Aéreos (PP-YRB),Convair CV-340-62
